Name,Address,Website
Rajiv Gandhi University,Rono Hills P.O. Doimukh   Itanagar    Arunachal Pradesh - 791112 ,http://www.rgu.ac.in
Assam University,P.O. Assam University Silchar     Assam - 788011 ,http://www.assamuniversity.nic.in
Tezpur University,P.O. -  Napaam   Tezpur Dist. Sonitpur    Assam - 784028 ,http://www.tezu.ernet.in
University of Hyderabad,Hyderabad P.O. Central University Campus Hyderabad    Telangana- 500046 ,http://www.uohyd.ac.in
Maulana Azad National Urdu University,Gachibowli Hyderabad     Telangana- 500032 ,http://www.manuu.ac.in
English & Foreign Languages University,O.U. Campus Hyderabad     Telangana- 500 007 ,http://www.efluniversity.ac.in
Jamia Millia Islamia,Jamia Nagar New Delhi     Delhi- 110025 ,http://www.jmi.nic.in
University of Delhi,Delhi      Delhi- 110007 ,http://www.du.ac.in
Jawaharlal Nehru University,New Mehrauli Road   New Delhi     Delhi- 110067 ,http://www.jnu.ac.in
Indira Gandhi National Open University,Maidan Garhi New Delhi     Delhi- 110068  ,http://www.ignou.ac.in
The Indira Gandhi National Tribal University,Kapil Dhara Road   Mekal Sadan  Amarkantak   Dist-Anuppur     Madhya Pradesh -  ,http://igntu.nic.in
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Post Box No.16  Panchtila Umri Village Arvi Road Wardha Mumbai    Maharashtra - 442001 ,
Mizoram University,Post Box No. 190   Aizwal     Mizoram - 796009 ,http://www.mzu.edu.in
North Eastern Hill University,NEHU Campus Shillong     Meghalaya - 793022 ,http://www.nehu.ac.in
Manipur University,Imphal        Manipur- 795003 ,http://www.manipuruniv.ac.in
Central Agricultural University,Imphal      Manipur- 795004 ,http://www.cau.org.in
Pondicherry University,Bharat Ratna Dr. B R Ambedkar Administrative Building R. Venkataraman Nagar   Kalapet   Puducherry    Puducherry- 605014 ,http://www.pondiuni.edu.in
Sikkim University,6th Mile   Samdur P.O. Tadong   Gangtok    Sikkim - 737102 ,http://www.sikkimuniversity.in
Tripura University,Suryamaninagar Agartala     Tripura - 799130 ,http://www.tripurauniv.in
Aligarh Muslim University,Aligarh      Uttar Pradesh - 202002 ,http://www.amu.ac.in
Babasaheb Bhimrao Ambedkar University,Vidya Vihar   Rae Bareily Road   Lucknow    Uttar Pradesh - 226025 ,http://www.bbau.ac.in
Banaras Hindu University,Varanasi      Uttar Pradesh - 221005 ,http://www.bhu.ac.in
University of Allahabad,Allahabad      Uttar Pradesh - 211002 ,http://www.allduniv.ac.in/
Visva Bharati,Shantiniketan      West Bengal - 731235 ,http://www.visva-bharati.ac.in
Hemwati Nandan Bahuguna Garhwal University,Srinagar  Garhwal     Uttarakhand - 246 174 ,http://www.hnbgu.ac.in
Central university of Tamil Nadu,C/O. Collectorate Annexe   Tiruvarur     Tamil Nadu - 610001 ,http://www.tiruvarur.in.nic.in/cutn/
Indian Maritime University,Chennai      Tamil Nadu - 600119 ,http://www.imu.tn.nic.in
Central University of Rajasthan ,NH-8   Bandar Sindri   Dist-Ajmer-305817     Rajasthan- 305817 ,http://www.curaj.ac.in
Central University of Punjab,City Campus   Mansa Road   Bathinda    Punjab - 151001 ,http://www.cup.ac.in   http://www.cpu.edu.in
Central University of Orissa,Sabara   Srikhetra Coats Building Koraput    Orissa - 764020 ,http://www.cuo.ac.in
Dr. Harisingh Gour Vishwavidyalaya,Sagar      Madhya Pradesh - 470003 ,http://www.dhsgsu.ac.in
Central University of Kerala,Tejaswini Hills  Periye (PO)   Kasaragod (DT)   Kerala    Kerala -  671316 ,http://www.cukerala.ac.in
Central University of Karnataka,2nd Floor   Karya Saudha   Gulbarga University    Gulbarga    Karnataka - 585 106 ,http://www.cuk.ac.in
Central University of Jharkhand,Ratu-Lohardaga Road Brambe   Ranchi  Jharkhand   India    Jharkhand - 835 205 ,http://www.cuj.ac.in
Central University of Kashmir,Transit Campus Sonwar (Near G.B. Pant Hospital) Srinagar    Jammu and Kashmir - 190 004 ,http://www.cukashmir.ac.in
