institute,branch,quota,category_code,closingRank,city,state,type
Netaji Subhas University of Technology,CSAI,HS,GNGND,9717,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,EWGND,18327,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,OBGND,30361,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,SCGND,82671,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,STGND,254803,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,GNGLD,16573,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,EWGLD,31894,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,OBGLD,66077,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,SCGLD,142608,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSAI,HS,STGLD,433104,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,GNGND,12803,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,EWGND,25468,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,OBGND,113605,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,SCGND,49996,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,STGND,314867,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,GNGLD,18509,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,EWGLD,30260,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,OBGLD,74635,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,SCGLD,180198,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSE,HS,STGLD,422005,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,GNGND,15264,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,EWGND,26286,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,OBGND,57736,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,SCGND,130553,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,STGND,384101,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,GNGLD,20647,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,EWGLD,36547,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,OBGLD,85371,Delhi,Delhi,JAC
Netaji Subhas University of Technology,CSDS,HS,SCGLD,191918,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,GNGND,19074,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,EWGND,30826,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,OBGND,76935,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,SCGND,161096,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,STGND,542855,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,GNGLD,23859,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,EWGLD,38128,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,OBGLD,97244,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,SCGLD,203606,Delhi,Delhi,JAC
Netaji Subhas University of Technology,IT,HS,STGLD,763740,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ITNS,HS,GNGND,21874,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ITNS,HS,EWGND,33072,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ITNS,HS,OBGND,187910,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ITNS,HS,SCGND,568571,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ITNS,HS,GNGLD,25681,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ITNS,HS,EWGLD,41163,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ITNS,HS,OBGLD,105143,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ITNS,HS,SCGLD,250069,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,GNGND,24436,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,EWGND,38028,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,OBGND,84388,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,SCGND,722781,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,STGND,1195863,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,GNGLD,30048,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,EWGLD,47972,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,OBGLD,129421,Delhi,Delhi,JAC
Netaji Subhas University of Technology,MAC,HS,SCGLD,266532,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ECE,HS,GNGND,30182,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ECE,HS,EWGND,48352,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ECE,HS,OBGND,217029,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ECE,HS,GNGLD,37404,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ECE,HS,EWGLD,80526,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ECE,HS,OBGLD,224857,Delhi,Delhi,JAC
Netaji Subhas University of Technology,ECE,HS,SCGLD,350407,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EVDT,HS,GNGND,31542,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EVDT,HS,EWGND,53078,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EVDT,HS,OBGND,90670,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EVDT,HS,SCGND,1089198,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EVDT,HS,GNGLD,39639,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EVDT,HS,EWGLD,123074,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EVDT,HS,OBGLD,271991,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EVDT,HS,SCGLD,399514,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EE,HS,GNGND,39515,Delhi,Delhi,JAC
Netaji Subhas University of Technology,EE,HS,EWGND,65267,Delhi,Delhi,JAC
